Values,AvgPrice
800696,150.29
240,338.93
100424,31.44
10452,5.9
164064,55.81
92230,18.61
8332,167.57
597439,23.44
350750,265.94
1140,30.59
5162,146.41
427090,514.83
10769,7.23
46556,111.56
41891,115.43
13174,7.7
61755,7.68
19472,1376.07
30888,10.11
1709426,120.51
1453,643.97
14112,47.38
83,281.83
1476164,134.52
10,977.5
100,948.91
6397,759.54
1043233,91.69
6521,780.92
1226966,667.94
10190,13.52
49623,19.09
1197010,112.38
326961,42.98
4206,2.17
1459,20.78
607695,205.57
27144,498.27
19194,5.97
1831,3857.84
13059,1680.89
3880719,268.32
85567,40.18
5851,401.42
269654,38.77
1549995,42.36
409456,0.22
37993,230.96
11828,17.93
8412363,71.66
408765,40.43
1406411,40
4000,23
5652,662.49
174340,46.72
42070,526.91
9673,1110.06
10762,527.79
1323,35.7
30288,401.26
15163,422.64
18512,66.51
1296118,133.89
340,1437.7
4000,69.2
319750,480.09
2418,653.78
2334896,65.32
59636,126.92
45780,195.78
3446786,376.94
177592,9.8
1664,1249.54
27765,52.58
62626,34.79
2770288,0.69
4175,365.24
4683,307.7
82968,77.74
2464,52.49
114910,5.05
8785,22.8
16395,1116.75
426876,83.77
24497,1.83
42036,186.31
309544,155.95
13007,125.35
14544,0.27
13993,159.39
336697,10.29
190057,31.35
127743,53.16
8888,734.21
25074,282.54
10461,257.62
67139,235.29
101338,264.03
6000,18.5
72065,329.58
2696,56.79
3320,6719.31
70477,18.5
23451,78.51
2400,105.25
5000,150
43,913.32
15391,1504.21
1382163,653.36
1000,115
5895,63.99
3760,14.91
308664,163.67
19549,653.98
121433,101.09
3618,995.54
57740082,17.1
35934,363.18
278966,361.2
81243,603.44
9040,287.68
148406,766.54
131775,519.3
775754,776.48
728475,530.99
564513,594.38
117238,0.26
42356,80.66
4251,10.63
8085,11.4
17258,2733.16
34,30.6
5520,69.04
1744,2775.88
31369,22.03
14099,68.2
160352,444.31
23169,101.26
80928,104.09
4333295,102.52
782746,858.17
1239047,1040.02
100036,96.3
307725,145.84
22,999.78
89248,173.1
90742,6.75
22986,494.02
185,571.36
676,1205.34
570802,303.34
21027,25.75
1352624,98.7
11565,7243.81
181159,182.62
1625528,108.93
130148,5.62
1049221,1.35
14487,11.33
3009,10.56
65777,69.86
41824,124.29
191052,612.45
2512,171.08
139333,841.55
82616,641.87
342,19.65
31713,759.82
57283,78.93
21282,57.94
1744803,8.53
2650,11.2
7507,844.98
1256,1
3330,611.46
30681,91.23
1483142,24.18
10065,708.41
1027745,635.26
2,1.3
223512,29.46
7394,10.61
9709878,11.74
7024,226.11
679681,26.87
1435197,1093
4044415,1772.93
379600,287.08
700334,1429.83
3681681,1966.04
2432342,402.4
464,2810.27
1868,1145.43
14,3887.86
5488132,22.84
155868,3641.7
137478,146.07
8335,104.32
6129,530.86
357504,3100.74
5650,1128.55
546,33.25
1873072,431.7
6182149,19.97
85571,230.29
5018,734.24
28000,7.96
478400,10.92
305170,177.34
4234,2199.7
6787,21.52
265335,238.99
11935712,246.29
1667,368.78
1059682,55.81
129935,8.23
3895,94.14
352832,133.68
6893813,244.44
128274,553.67
980726,1610.72
2147804,305.08
1919,123.09
1525,54.78
1888,272.86
5516,102.74
6925,441.78
4128,20.59
7522,148.22
10,3390.6
982,21566.9
7223,1180.04
168767,14.92
101,2.3
19595,204.16
20105,66.97
1017253,117.61
72562,259.21
76882,50.25
107532,47.32
597938,51.06
12,1095
280,1133.95
18,1282.82
7677866,113.71
13834876,986.72
50,935
59,980
115,934.22
119,975
14762,550.8
25407,597.1
2000,77.05
5165,147.82
292034,35.99
23224979,310.8
588616,855.65
1103,279.07
1,1000
292,88.4
3197,68.35
315,119.5
30293,114.74
3807,54.42
73,282.26
1440663,342.91
38,383.77
239790,69.99
856,3545.72
269540,1.2
6551375,52.28
77,2872
18000078,41.05
2392382,42.26
8622751,38.38
19,5071.17
12,8609.08
3,4754
8,8350.51
32,8445.09
12,5085.34
18,8600
17,5050.37
4,8201.1
5,8000
18,113.86
9730,1745.28
2621,573.17
8732,1058.86
9121901,12.93
200,1070.79
110,1020.91
250,1020.34
75,1350
7523,241.85
13716,700.4
3403589,267.89
21525,436.32
10,1102
60,1257
166096,558.85
48,997.01
428,1051.49
471,88.56
832377,14.77
856893,23.66
44237,287.89
419,899.34
675,0.45
81756,10.05
604045,126.22
4696857,109
111359,412.61
2274244,239.06
2223,134.7
8085,250.8
493987,846.84
81648,89.86
5782,63.78
4082,483.76
40405,204.93
12013,22.51
202980,3.9
502522,353.16
4094,111.68
8019,47.98
29533,4.72
68552,42.32
97009,59.91
11233,7.35
8987,137.45
2914677,1695.73
3845,725.17
6162456,215.1
62001,470.09
10000,57.51
674,313.51
2575108,264.38
6599606,720.78
6529,559
12000,32.29
29778,225.52
63336,93.83
12950,518.09
1,1.9
284958,229.94
27439,44.28
25698,14.55
563948,13.87
4795841,153.79
202213,126.85
103911,486.06
741194,693.2
3114292,139.56
270000,74.65
20,1205
100,1131.25
1092,1120
100,1214.18
36,1078.71
120,1114.17
10,1208.99
855,1138
8510,1146.58
126911,299.83
31566,215.01
39022,6.69
19891787,293.94
579728,381.74
63529,124.79
2147537,89.85
1985942,7.96
1700,135.98
972021,0.99
4,1154
589709,79.49
159515,46.01
38057,113.39
6434,26.78
30041,15.8
1350490,120.09
6000,29.7
728957,74.69
15485,214.63
5819,385.26
100607,5.83
49541,93.06
38616,300.19
8462,29.15
16109,305.45
35245,1740.51
6007128,192.92
48008,32.53
503,0.45
1667,33.05
89147,298.58
690025,84.81
10164843,229.2
11842,5.11
9015,127.65
41797,376.82
28706,49.73
4303123,76.46
4035,19.31
7627,778.63
110274,225.39
27807,305.62
923699,164.09
420845,101.94
399,187.84
23938,427.69
3958338,93.39
112662,3.06
1095,121.99
61497539,7.27
332809,2.7
173,37.77
6059613,2.52
1096941,60.75
701757,127.39
2865975,63.1
5485,2478.06
3317487,406.59
4667,6.88
103866,123.44
332566,758.03
1222852,1292.39
12921,114.24
34487,289.17
1744628,505.47
35305,6.6
319048,200.87
36888,2.51
43915,79.52
1385183,397.52
23863,223.98
198981,318.69
791,299.67
26939,57.09
9953,199.71
3574,6.27
16603,65.94
32621,445.34
8400,94.59
104833,177.47
130,22.4
1717332,82.07
7648,1.62
4185,8.23
15629,848.49
88622,88.52
2441196,23.72
132,428.86
447278,285.67
69840,17.72
4000,58.53
92452,333.46
48570,36.88
2693,22.93
19574,34.9
100301,64.33
21,53.3
485267,1.47
5857,713.65
210,15.49
6784,50.99
912,15.4
996,2262.62
13134,128.73
3604,665.86
73642,167.91
79630,549.55
13680,233.64
27845,227.28
3391,1096.5
50470,113.53
285,1376.68
699211,10.26
120534,199.32
384008,33.82
30280,128.73
47605,251.5
95292,43.65
2446177,1173.63
887708,261.35
14812,269.1
98925,112.69
1290,55.81
1142,278.12
386211,13.07
19386,21.54
1788,103.74
15024710,242.96
16726,649.76
103880,353.41
235,93.9
67850,61.98
4000,36.3
1224,708.88
319165,613.01
870060,0.17
99006,1.2
59477,251.91
4671,82.35
2788232,101.43
258805,14.65
14332293,132.5
780,1008.29
25,1019.68
40,1720
20,1008
140,1689.84
120,1005.52
198,1756.19
84000,30.25
75,12.15
33620,8.2
1176078,86.79
86883,967.91
8511,46.09
24867,226.13
112222,21.34
40186,435.95
5019,6614.06
145906,73.92
159136,71.97
125000,27.43
521,75.22
28219,428.77
101344,173.82
1752049,436.13
321,15.79
469,112.54
5,381.4
2,116.45
100476,264.05
700,303.82
60458,425.22
1475465,1000
173487,1000
12290,49.44
1693,25.54
19380,113.22
38229,4.16
275213,1.55
2846089,1321.51
194312,1864.72
1000,8.02
142492,1739.95
7288,2050.06
38803,181.38
2762045,897.21
59997,1712.71
384488,3.36
46038,39.25
35831,11.81
2357565,900.84
1950583,424.05
482,1006.97
232415,19.07
102,10
931,104.63
3974,109.15
24500,167.6
699,45.2
53740,7.93
158806,21.02
169763,157.68
154008,124.77
4768,6.4
271461,11.76
1550,169.04
1035,73.61
3000,190.33
12000,47.55
193844,267.82
13092,454.53
6931,541.33
2450,2528.54
32422,444.43
27178,549.54
48736,484.86
14613,46.85
3719,6.27
4900,8.79
18171,40.57
7659,19.78
616861,35.81
2348101,79.07
4262,5.35
69627,77.95
92844,47.48
24188,248.06
13591,19.2
119280,83.7
119053,42.85
436939,114.27
451,33.54
1317,26.77
4059,139.58
2638508,338.55
5104575,32.58
33000,41.32
754963,7903.25
15044,541.8
195022,512.94
5804,496.86
670572,55.78
113600,82.84
44396,58.07
22199,368.84
3066,343.24
3000,45
1496,34.28
116357,16.76
19766,26.19
1194600,536.5
1200,145
108890,148.7
373752,746.16
6907,7.05
810769,81.19
1,1.85
14889,80.8
409661,44.98
336779,18.06
22828,2716.9
28183,13.67
806,1.5
650655,453.18
257466,827.47
6000,33
49479,226.94
83682,2.13
179670,126.72
91716,147.72
752778,372.44
1764,42.23
998236,1064.75
178543,24.95
105465,88.63
36000,21.38
8084,594.66
2400,217.7
928101,29.42
6539,8.8
13496,81.79
205130,175.54
9000,23.25
5995,43.08
38181,320.39
3550,2858.18
8628,409.34
3577,23.55
488681,23.89
60626,1.65
11803920,252.83
89417,707.47
100,40.55
423917,1179.99
3527,548.01
2000,43.5
4318,66337.61
4408,40.23
1280041,74.32
8807,13.76
23150,46.89
2602653,14.66
12529,26.33
26765,53.78
12,7.5
16618,41.24
41684,59.33
45728,202.91
15353,28.33
68911,880.79
1234890,426.4
8,1975
125600,0.23
323,636.77
590,1120.5
12041,29.43
195234,11
2182933,1.69
10558,16.72
6424,25.96
581,107.24
9070,60.44
1097,42.03
10927,81.56
20000,50.61
8000,26.28
458261,766.04
25195,425.36
11119128,67
12049,8.15
42938,1526.61
20269,686.82
67465,94.3
46293,113.58
2216198,64.11
81,1227.37
387262,127.48
5106291,80.36
27687,134.93
294,875.84
23651,75.82
8567,33.81
32436,9.07
157139,24.28
33959,76.87
125638,268.77
22669,451.42
57887,9629.04
564988,46.04
6122,709.51
7256,230.54
25765,17.61
271598,40.49
69513,248.53
8879,1052.31
5038,1115.56
425,1143.49
6985,1199.21
190,1081.7
25,1045.6
3089,1117
404,1086.1
150,6072
7,6515.01
1930273,23.45
50,1250
101779,222.37
1635,27.89
26453,1156.59
8,13173.24
510652,79.48
1214921,1175.45
147631,8.67
15374,1674.99
1149,731.53
152961,48.37
74783,6.25
203631,2.64
48419,84.14
3600,49.63
1677,47.14
424559,67.29
3656302,115.72
642828,163.86
23699,7.87
13655,497.05
30171,161.63
375,1250.22
536,1.7
2993241,168.64
150,1147.93
110,1284.82
222512,12.77
2,1055.02
10401,389.98
66667,0.6
297992,415.46
2137,996.16
2480,1108.76
54707,4003.29
870725,217.48
7650,15.76
11532,2.11
5659,219.06
12485,97.21
437028,217.51
37610,11.22
33655,31.91
1976,12.97
12000,59.43
6680285,180.42
124312,37.14
20710,71.19
11821,100.37
241755,9.72
28684,129.07
55259,7.14
293000,29.66
39891,29.46
15119,11.25
4064617,67.03
