SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
AHLUCONT, EQ, 26-Sep-2018,287.65,294.75,294.75,283.25,284,284.4,287.91,1179,3.39,144,1027,87.11
AHLWEST, EQ, 26-Sep-2018,290,290.05,297.95,290.05,297.95,297.95,293.79,95,0.28,4,95,100
AIAENG, EQ, 26-Sep-2018,1738.45,1740,1789,1737,1759.85,1763.35,1756.99,15336,269.45,2747,10667,69.56
AIFL, EQ, 26-Sep-2018,430.05,432.6,435.65,428.05,430,431.9,431.25,164539,709.57,1820,60113,36.53
AIONJSW, BE, 26-Sep-2018,29.5,30.95,30.95,30.95,30.95,30.95,30.95,6861,2.12,53, -, -
AIRAN, SM, 26-Sep-2018,64.85,64,64.85,61.25,64.5,63.55,63.8,17500,11.17,7,10000,57.14
AIROLAM, SM, 26-Sep-2018,33.5,35,37.05,35,35.05,35.05,36.24,102000,36.96,26,96000,94.12
AJANTPHARM, EQ, 26-Sep-2018,1109.45,1120,1131,1093.55,1113.8,1114.45,1115.49,275687,3075.26,7836,19475,7.06
AJMERA, EQ, 26-Sep-2018,169.05,170.25,185,166.6,174,174.9,177.41,129703,230.1,3407,35997,27.75
AKASH, SM, 26-Sep-2018,70.1,75.25,77.8,75.25,77.8,77.8,76.53,2000,1.53,2,0,0
AKG, ST, 26-Sep-2018,32,33.5,33.5,33.5, ,33.5,33.5,24000,8.04,6, -, -
AKSHARCHEM, EQ, 26-Sep-2018,489.1,482,498.65,472,472,475.8,481.41,2218,10.68,253,1656,74.66
AKSHOPTFBR, EQ, 26-Sep-2018,25.75,26.05,27.65,25.85,26.85,26.95,26.97,3225190,869.7,9324,922313,28.6
AKZOINDIA, EQ, 26-Sep-2018,1637.95,1636.7,1656,1616.95,1627,1635.65,1639.38,2887,47.33,455,1916,66.37
ALANKIT, EQ, 26-Sep-2018,18,19.2,19.95,17.55,19.5,19.1,18.98,2186795,415.1,1913,707557,32.36
ALBERTDAVD, EQ, 26-Sep-2018,621.3,635,647.95,591.2,595.2,599.65,620.36,28423,176.32,1581,16066,56.52
ALBK, EQ, 26-Sep-2018,37.75,38.1,38.2,37.1,37.25,37.35,37.47,4042749,1514.77,8594,316770,7.84
ALCHEM, BE, 26-Sep-2018,4.7,4.65,4.9,4.65,4.7,4.75,4.71,7164,0.34,14, -, -
ALEMBICLTD, EQ, 26-Sep-2018,42.75,43.1,45.5,42.9,45,45,44.33,501104,222.12,3329,240192,47.93
ALICON, EQ, 26-Sep-2018,696,694.05,720,690,705,709.55,706.59,3038,21.47,226,2000,65.83
ALKALI, EQ, 26-Sep-2018,61.05,61,63,61,61.15,61.4,61.71,2969,1.83,77,1848,62.24
ALKEM, EQ, 26-Sep-2018,2060.55,2082,2097.55,2043,2070,2069,2068.94,16395,339.2,2734,7521,45.87
ALKYLAMINE, EQ, 26-Sep-2018,604.85,607.15,609,603.3,603.35,604.85,604.5,1488,8.99,65,1179,79.23
ALLCARGO, EQ, 26-Sep-2018,107.95,109,109.85,106.3,107.1,107.3,107.99,180270,194.68,2249,133569,74.09
ALLSEC, EQ, 26-Sep-2018,272.35,280,280,261.05,262.2,264.8,267.58,3839,10.27,338,2308,60.12
ALMONDZ, BE, 26-Sep-2018,32.3,33.8,33.8,30.7,31,31.05,32.86,3872,1.27,18, -, -
ALOKTEXT, BE, 26-Sep-2018,3.5,3.4,3.45,3.35,3.4,3.35,3.37,1313600,44.24,1202, -, -
ALPA, EQ, 26-Sep-2018,28.6,29.5,29.8,28,28.8,28.6,28.64,17927,5.13,114,10445,58.26
ALPHAGEO, EQ, 26-Sep-2018,564.85,564.8,591,564,570,569.55,576.52,8055,46.44,1022,4687,58.19
ALPSINDUS, BE, 26-Sep-2018,2.95,2.85,3.05,2.85,2.85,2.9,2.94,42666,1.25,35, -, -
AMARAJABAT, EQ, 26-Sep-2018,768,768,792.85,765.1,786.25,786.45,782.77,532443,4167.79,19658,95826,18
AMBANIORG, SM, 26-Sep-2018,66.1,66.1,66.1,66.1,66.1,66.1,66.1,2000,1.32,1,2000,100
AMBER, EQ, 26-Sep-2018,929.8,931,939.05,929.8,932,932,931.32,5965,55.55,442,4527,75.89
AMBIKCO, EQ, 26-Sep-2018,1226.9,1234.95,1249.2,1230,1235,1234.95,1237.11,783,9.69,205,414,52.87
AMBUJACEM, EQ, 26-Sep-2018,225.65,227.65,229.2,223.45,226,226.1,226.67,2420982,5487.72,24061,1214663,50.17
AMDIND, EQ, 26-Sep-2018,20.65,20.5,21.25,20.3,20.9,20.65,20.49,5267,1.08,27,4086,77.58
AMJLAND, EQ, 26-Sep-2018,22.1,22.25,22.65,21.8,22.2,22.05,22.18,15930,3.53,58,11802,74.09
AMRUTANJAN, EQ, 26-Sep-2018,258.2,260.8,268.5,255.05,264,263.05,261.14,19529,51,1018,10117,51.81
ANANTRAJ, EQ, 26-Sep-2018,40.45,41.45,41.45,39.85,40.55,40.6,40.65,421360,171.27,3408,162966,38.68
ANDHRABANK, EQ, 26-Sep-2018,30.6,30.6,30.9,29.05,30.3,30.25,29.82,7095184,2115.6,10867,1839419,25.92
