SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
BHAGERIA, EQ, 26-Sep-2018,264.75,265,269,261.9,262.55,264.85,266.01,12032,32.01,259,10493,87.21
BHAGYANGR, BE, 26-Sep-2018,32.05,33.5,33.5,30.5,31.9,31.9,31.47,3679,1.16,47, -, -
BHAGYAPROP, EQ, 26-Sep-2018,23,23.5,24.4,23.5,24,24.05,23.93,800,0.19,4,800,100
BHANDARI, EQ, 26-Sep-2018,2.1,2.15,2.25,2.1,2.15,2.1,2.15,158344,3.41,152,112766,71.22
BHARATFIN, EQ, 26-Sep-2018,1056.35,1058,1065.6,1048.1,1063.25,1063,1057.01,1968359,20805.68,44191,1255684,63.79
BHARATFORG, EQ, 26-Sep-2018,616.6,622.2,631.4,618.25,625.95,625,624.06,911023,5685.36,20678,325524,35.73
BHARATGEAR, EQ, 26-Sep-2018,171.55,171,175,166.35,172,170.25,170.47,18532,31.59,676,11957,64.52
BHARATIDIL, BZ, 26-Sep-2018,3,3,3.05,2.85,3,2.85,2.86,6366,0.18,38, -, -
BHARATRAS, EQ, 26-Sep-2018,6547,6676,6767,6400,6481,6532.3,6527.31,1033,67.43,299,619,59.92
BHARATWIRE, EQ, 26-Sep-2018,83.15,84.25,85.25,79,83.3,81.4,81.75,17431,14.25,468,11701,67.13
BHARTIARTL, EQ, 26-Sep-2018,360.5,363,365,357.15,360.7,361.3,360.58,3964043,14293.7,67664,2071064,52.25
BHEL, EQ, 26-Sep-2018,71.65,72,72.85,71.75,72.15,72.15,72.22,3739806,2700.94,14421,614653,16.44
BHUSANSTL, EQ, 26-Sep-2018,25.9,26.5,26.5,24.8,24.8,24.9,25.14,603822,151.81,1817,367963,60.94
BIGBLOC, EQ, 26-Sep-2018,68.05,68.4,69.95,63.5,69.8,68.5,67.63,121931,82.46,431,73071,59.93
BIL, EQ, 26-Sep-2018,336.95,360.4,360.5,326.05,326.05,334.95,343.66,6328,21.75,500,2191,34.62
BILENERGY, BE, 26-Sep-2018,0.5,0.55,0.55,0.45,0.5,0.5,0.5,91916,0.46,48, -, -
BILPOWER, BZ, 26-Sep-2018,0.5,0.55,0.55,0.45,0.45,0.45,0.46,13560,0.06,16, -, -
BINANIIND, EQ, 26-Sep-2018,92.8,93,96.55,91.1,91.95,92.4,93.88,27897,26.19,515,16636,59.63
BINDALAGRO, EQ, 26-Sep-2018,18,18,18.6,17.05,17.9,17.9,17.75,38103,6.76,242,19840,52.07
BIOCON, EQ, 26-Sep-2018,701.55,710,718,696.25,704.2,706.6,708.25,4501895,31884.77,82392,524789,11.66
BIOFILCHEM, BE, 26-Sep-2018,8.6,8.2,9,8.2,9,9,8.73,1165,0.1,13, -, -
BIRLACABLE, EQ, 26-Sep-2018,150.1,153.5,157.6,153.5,157.6,157.6,157.03,205837,323.23,1175,75289,36.58
BIRLACORPN, EQ, 26-Sep-2018,675.4,679.5,693,657,667.2,667.9,676.12,29368,198.56,2547,15631,53.22
BIRLAMONEY, EQ, 26-Sep-2018,49.8,49.8,52.25,49.2,51.8,51.65,51.06,43047,21.98,490,29347,68.17
BKMINDST, EQ, 26-Sep-2018,12.6,13.65,13.85,11.7,11.9,12.65,12.44,73026,9.08,221,42171,57.75
BLBLIMITED, EQ, 26-Sep-2018,5.1,5.1,5.35,4.9,5.2,5.05,5.07,10042,0.51,33,8441,84.06
BLISSGVS, EQ, 26-Sep-2018,187.75,185.55,190,185.55,188.5,188.15,188.34,220309,414.94,2158,108708,49.34
BLKASHYAP, EQ, 26-Sep-2018,31.55,31.65,32.3,30.3,30.7,31,31.65,107059,33.88,543,81161,75.81
BLS, EQ, 26-Sep-2018,132.7,135.9,147.7,133.05,147.7,143.75,140.49,130732,183.66,2447,79512,60.82
BLUEBLENDS, EQ, 26-Sep-2018,5.05,5.05,5.3,5.05,5.1,5.1,5.17,7242,0.37,31,6353,87.72
BLUECHIP, BE, 26-Sep-2018,0.2,0.15,0.15,0.15,0.15,0.15,0.15,149,0,1, -, -
BLUECOAST, EQ, 26-Sep-2018,66.2,63.05,63.05,62.9,62.9,62.9,62.98,6,0,2,3,50
BLUEDART, EQ, 26-Sep-2018,2994.55,2991,3067.35,2980,3006,3004.85,3005.2,2450,73.63,574,1609,65.67
BLUEDART, N2, 26-Sep-2018,10.25,10.25,10.25,10.25,10.25,10.25,10.25,47,0,2,47,100
BLUEDART, N3, 26-Sep-2018,10.23,10.21,10.21,10.21,10.21,10.21,10.21,6,0,1,6,100
BLUESTARCO, EQ, 26-Sep-2018,611.5,620,620.95,605,615.15,609.75,612.07,12001,73.45,1273,7704,64.19
BODALCHEM, EQ, 26-Sep-2018,106.65,107.55,107.9,104.4,105.7,106.4,106.43,137840,146.7,3550,82846,60.1
BOMDYEING, BE, 26-Sep-2018,195.55,185.8,185.8,185.8,185.8,185.8,185.8,34704,64.48,616, -, -
BOROSIL, EQ, 26-Sep-2018,279.4,284,287.7,279.4,281,282.85,283.31,59558,168.73,1679,34339,57.66
BOSCHLTD, EQ, 26-Sep-2018,20151.7,20302.8,20302.8,19401.7,19800,19710.1,19705.91,23779,4685.87,9490,10592,44.54
BPCL, EQ, 26-Sep-2018,364.2,370.8,370.8,361.35,367.65,368.65,365.91,3152317,11534.68,39783,783836,24.87
BPL, EQ, 26-Sep-2018,41.65,42.1,42.55,41.15,41.75,41.8,41.69,105263,43.88,942,33467,31.79
BRFL, BE, 26-Sep-2018,17.3,17,17.7,16.45,16.55,16.65,16.75,89270,14.95,249, -, -
BRIGADE, EQ, 26-Sep-2018,195.65,199.55,199.55,192.6,197,197,196.56,14942,29.37,694,10737,71.86
BRIGHT, SM, 26-Sep-2018,40.45,40.5,40.95,38.6,40,40.5,40.32,60000,24.19,17,6000,10
BRITANNIA, EQ, 26-Sep-2018,5773.85,5870,5875,5650,5680,5681.9,5690.86,190517,10842.05,23864,111023,58.27
BRNL, EQ, 26-Sep-2018,153.7,152.3,154,151.05,152.3,153.45,152.89,2050,3.13,110,1290,62.93
BROOKS, EQ, 26-Sep-2018,64.2,64.6,66.5,64.4,65,65.05,65.43,34401,22.51,480,22816,66.32
BSE, EQ, 26-Sep-2018,718.15,720,724.4,709,710,711.6,715.35,71780,513.48,7381,39980,55.7
BSELINFRA, EQ, 26-Sep-2018,2.8,2.85,2.9,2.7,2.75,2.75,2.75,25649,0.71,62,19625,76.51
BSHSL, SM, 26-Sep-2018,130.65,135,137.85,133,133,133,135.93,4000,5.44,4,3000,75
BSL, EQ, 26-Sep-2018,43.7,42.05,46.35,42.05,45,45,44.47,9027,4.01,99,7104,78.7
BSLGOLDETF, EQ, 26-Sep-2018,2809,2805,2850,2805,2850,2850,2848.33,27,0.77,4,26,96.3
BSLNIFTY, EQ, 26-Sep-2018,116,116,116,116,116,116,116,103,0.12,6,103,100
BURNPUR, BE, 26-Sep-2018,4.15,4.15,4.35,4.05,4.25,4.25,4.25,102824,4.37,176, -, -
BUTTERFLY, EQ, 26-Sep-2018,261.9,268.95,268.95,251.1,262.2,264.6,259.75,9636,25.03,321,6335,65.74
BVCL, BE, 26-Sep-2018,17.2,16.65,17.2,16.35,16.5,16.45,16.63,5163,0.86,21, -, -
BYKE, EQ, 26-Sep-2018,87.85,88.8,89.95,76.55,76.9,77.45,81.13,321409,260.77,4176,220255,68.53
CADILAHC, EQ, 26-Sep-2018,394.1,395,403.8,392.5,398.5,399.15,398.56,1381815,5507.41,18000,330962,23.95
CADSYS, SM, 26-Sep-2018,53.55,52.1,52.1,51,51,51,51.78,8000,4.14,4,8000,100
CALSOFT, BE, 26-Sep-2018,43.05,40.9,40.9,40.9,40.9,40.9,40.9,24007,9.82,64, -, -
CAMLINFINE, EQ, 26-Sep-2018,53.4,53.25,54.65,52.8,52.95,53.35,53.77,323963,174.2,4933,146797,45.31
CANBK, EQ, 26-Sep-2018,233.5,236,238,231.3,234.8,235.15,234.96,6009365,14119.78,35937,292191,4.86
CANDC, EQ, 26-Sep-2018,27.55,28.05,28.55,27.1,28.2,28.2,27.91,27525,7.68,155,19672,71.47
CANFINHOME, EQ, 26-Sep-2018,253.8,255.55,260.35,246.05,246.8,248.65,251.42,2245941,5646.66,35475,533777,23.77
CANTABIL, EQ, 26-Sep-2018,155.55,156.6,159,150.95,158.9,158.45,154.63,34165,52.83,398,15179,44.43
CAPACITE, EQ, 26-Sep-2018,228.25,232.45,233.7,227,229,228.85,230.27,44854,103.29,1774,23536,52.47
CAPF, EQ, 26-Sep-2018,510.6,517.7,525.85,506.2,519,519.2,519.15,527686,2739.49,12969,69656,13.2
CAPLIPOINT, EQ, 26-Sep-2018,427.55,440.95,445,431.2,435,435.05,437.56,20090,87.91,1438,8358,41.6
CAPTRUST, EQ, 26-Sep-2018,320.6,325.55,325.55,306,306.65,310.15,313.28,2891,9.06,155,2030,70.22
CARBORUNIV, EQ, 26-Sep-2018,374.7,372.25,387.7,365,386.8,382.95,374.9,215871,809.31,6592,101809,47.16
CAREERP, EQ, 26-Sep-2018,71.85,72.7,73.9,69.7,70,70,71.33,22324,15.92,257,18075,80.97
CARERATING, EQ, 26-Sep-2018,1249.2,1240,1250,1220,1238,1238.25,1239.57,114987,1425.34,2678,106794,92.87
CASTEXTECH, EQ, 26-Sep-2018,1.3,1.25,1.35,1.25,1.25,1.25,1.25,638735,8.01,227,382894,59.95
CASTROLIND, EQ, 26-Sep-2018,151.2,151,152.25,149.2,149.6,149.55,150.13,653889,981.7,16502,276266,42.25
CCCL, EQ, 26-Sep-2018,2,2.1,2.1,2,2.1,2.05,2.06,57559,1.18,75,43759,76.02
CCHHL, EQ, 26-Sep-2018,8.15,8.4,8.4,7.95,8.2,8.15,8.17,23368,1.91,77,21267,91.01
CCL, EQ, 26-Sep-2018,253.3,253.05,261.65,253.05,257.1,259.2,256.8,55473,142.45,1947,45630,82.26
CDSL, EQ, 26-Sep-2018,249.85,252,252.2,244.5,245.1,245.65,247.78,202790,502.46,4584,123016,60.66
CEATLTD, EQ, 26-Sep-2018,1230.65,1240,1246,1225.5,1237,1235.9,1235.49,245321,3030.92,8189,23838,9.72
CEBBCO, EQ, 26-Sep-2018,15.4,15.3,15.5,14.6,15.1,14.95,15.08,39085,5.9,178,32852,84.05
CELEBRITY, EQ, 26-Sep-2018,9.65,9.65,10,9.5,9.9,10,9.78,22493,2.2,81,14187,63.07
CELESTIAL, EQ, 26-Sep-2018,15,15.6,15.65,14.8,15.15,14.95,15.15,59036,8.94,377,37073,62.8
CENTENKA, EQ, 26-Sep-2018,263.5,265,274.4,265,271.95,273.25,270.9,40106,108.65,1184,20317,50.66
CENTEXT, EQ, 26-Sep-2018,7.6,7.8,8,7.6,7.7,7.65,7.79,227530,17.72,369,141831,62.34
CENTRALBK, EQ, 26-Sep-2018,43.7,44.1,44.8,43,43.5,43.6,43.86,1260191,552.68,5133,547450,43.44
CENTRUM, EQ, 26-Sep-2018,37.65,37.95,41.45,37.95,39.85,39.8,39.78,314489,125.12,1484,167038,53.11
CENTUM, EQ, 26-Sep-2018,424.35,447,447,426,439,437.05,433.29,910,3.94,97,380,41.76
CENTURYPLY, EQ, 26-Sep-2018,187.15,187.5,193.4,186,186.3,186.9,188.74,171925,324.49,3639,69557,40.46
CENTURYTEX, EQ, 26-Sep-2018,864.45,870.15,886.45,861.75,876.75,876.8,874.84,357358,3126.31,10396,61259,17.14
CERA, EQ, 26-Sep-2018,2579.85,2560.65,2643.9,2560.65,2585,2603.05,2595.03,2834,73.54,492,1505,53.11
CEREBRAINT, EQ, 26-Sep-2018,34.65,33.25,34,32.95,32.95,32.95,33.39,213187,71.19,336,199973,93.8
CES1RPG, MF, 26-Sep-2018,8.94,9,9.14,8.62,8.99,8.99,8.91,115911,10.33,19,112911,97.41
CESC, EQ, 26-Sep-2018,891.55,901.5,915.75,887.2,905.95,905.8,901.21,349280,3147.73,9973,90435,25.89
CGCL, EQ, 26-Sep-2018,99.6,101.9,102.9,98,100,99.6,100.16,276538,276.98,1313,235404,85.13
CGPOWER, EQ, 26-Sep-2018,49.4,49.85,49.9,47,48.8,48.7,48.73,4344840,2117.28,10314,498603,11.48
CHAMBLFERT, EQ, 26-Sep-2018,155.35,154,159.95,151.25,155.25,157.1,154.42,419987,648.53,5612,227104,54.07
CHEMFAB, EQ, 26-Sep-2018,156,156.35,168,154.2,166.95,163.6,161.07,11340,18.27,138,7544,66.53
CHENNPETRO, EQ, 26-Sep-2018,279.8,281.45,285,268.45,271.2,271.6,273.88,379983,1040.71,6578,96460,25.39
CHOLAFIN, EQ, 26-Sep-2018,1230.4,1237,1240,1203.55,1219.35,1215.55,1219.52,400010,4878.22,15239,232248,58.06
CHROMATIC, BE, 26-Sep-2018,1.1,1.15,1.15,1.1,1.15,1.15,1.14,87698,1,18, -, -
CIGNITITEC, EQ, 26-Sep-2018,382.75,387,393,375,375,376.95,379.84,19955,75.8,644,12957,64.93
CIMMCO, EQ, 26-Sep-2018,50.9,49.95,52.85,49.95,52,51.8,51.53,10472,5.4,163,5881,56.16
CINELINE, EQ, 26-Sep-2018,47.9,47.1,51.25,47.1,50.5,50.25,50.04,50595,25.32,518,28796,56.91
CINEVISTA, BE, 26-Sep-2018,6.5,6.3,6.8,6.3,6.35,6.35,6.4,1310,0.08,5, -, -
CIPLA, EQ, 26-Sep-2018,661.75,664.45,675.25,656,671.95,672.8,669.8,2131833,14279.03,48860,544378,25.54
CKPLEISURE, SM, 26-Sep-2018,15,14.15,14.15,12,12.05,12.05,12.58,16000,2.01,4,8000,50
CLEDUCATE, EQ, 26-Sep-2018,126.05,127.25,132.8,123.1,129,128.75,128.1,2012,2.58,67,1665,82.75
CLNINDIA, EQ, 26-Sep-2018,482.35,481.85,483.65,469.55,475,470.95,473.72,13031,61.73,921,8074,61.96
CMICABLES, EQ, 26-Sep-2018,151.7,154,158.05,151.7,157.4,155.65,154.29,20794,32.08,662,8608,41.4
CMMIPL, SM, 26-Sep-2018,23.9,22.8,22.8,22.75,22.75,22.75,22.77,9000,2.05,3,9000,100
CNOVAPETRO, BE, 26-Sep-2018,27,25.65,25.65,25.65,25.65,25.65,25.65,1240,0.32,6, -, -
COALINDIA, EQ, 26-Sep-2018,275.25,277,277,270.2,272.5,272.55,272.21,2300500,6262.28,34568,1094191,47.56
COCHINSHIP, EQ, 26-Sep-2018,412.8,414,417.95,398.25,400,400.05,402.93,252128,1015.9,8024,192875,76.5
COFFEEDAY, EQ, 26-Sep-2018,298.4,300.4,302.35,291.5,292.1,294.35,295.51,133779,395.33,1821,96101,71.84
COLPAL, EQ, 26-Sep-2018,1097.2,1107,1112.95,1089.8,1099.5,1097.45,1104.57,605730,6690.72,12567,437847,72.28
COMPINFO, EQ, 26-Sep-2018,31.45,31.2,37,29.5,29.8,30.1,34.58,80803,27.94,217,67180,83.14
COMPUSOFT, EQ, 26-Sep-2018,11.15,10.95,11.25,10.9,11.1,11.15,11.13,19545,2.17,71,16306,83.43
CONCOR, EQ, 26-Sep-2018,612.7,622,632.85,613,627.65,628.65,625.92,551429,3451.51,28475,316476,57.39
CONSOFINVT, EQ, 26-Sep-2018,57.35,57.5,59,57.5,57.7,57.7,58.4,6146,3.59,21,5960,96.97
CONTROLPR, EQ, 26-Sep-2018,360.5,359.4,366.15,350.15,358.05,360.4,360.48,86484,311.76,683,80940,93.59
CORALFINAC, EQ, 26-Sep-2018,16.85,17.8,17.9,15.8,17,16.9,16.59,39049,6.48,270,23488,60.15
CORDSCABLE, EQ, 26-Sep-2018,64.35,64.3,66.75,64.3,65,65.05,65.06,11816,7.69,130,8365,70.79
COROMANDEL, EQ, 26-Sep-2018,396.5,396.5,401.1,392.5,399.8,399.1,395.66,91048,360.24,4453,68911,75.69
CORPBANK, EQ, 26-Sep-2018,26.05,26.25,26.45,25.5,25.75,25.8,25.85,149450,38.63,1081,76041,50.88
COSMOFILMS, EQ, 26-Sep-2018,234.35,237.85,242.9,234,238.9,236.8,237.87,10228,24.33,448,4007,39.18
COUNCODOS, EQ, 26-Sep-2018,2.6,2.65,2.65,2.55,2.65,2.6,2.6,10165,0.26,43,8991,88.45
COX&KINGS, EQ, 26-Sep-2018,194.7,194.2,195.5,190.7,193,193.5,193.3,74519,144.05,876,65954,88.51
CPSEETF, EQ, 26-Sep-2018,26.92,27.01,27.1,26.79,26.96,26.95,26.93,345123,92.93,747,251884,72.98
CREATIVE, SM, 26-Sep-2018,117.2,111.35,111.35,111.35,111.35,111.35,111.35,1600,1.78,1,1600,100
CREDITACC, EQ, 26-Sep-2018,276.55,279.6,331.85,279.6,331.85,326.1,312.2,447494,1397.08,20498,205204,45.86
CREST, EQ, 26-Sep-2018,153.8,156.9,184.45,155,179.45,180.35,178.06,304340,541.91,6147,89964,29.56
CRISIL, EQ, 26-Sep-2018,1726.55,1711,1776.95,1711,1744.05,1750,1757.68,10196,179.21,4206,6581,64.54
CRMFGETF, EQ, 26-Sep-2018,2895,2900,2900,2800.05,2800.05,2800.05,2866.68,3,0.09,3,2,66.67
CROMPTON, EQ, 26-Sep-2018,219.7,220.9,220.95,213.5,216.8,218.65,215.66,2547691,5494.29,20038,2211384,86.8
CROWN, SM, 26-Sep-2018,61.85,58.8,58.8,58.8,58.8,58.8,58.8,1000,0.59,1,1000,100
CTE, EQ, 26-Sep-2018,51.2,53.45,53.45,51.5,52.7,52.15,52.97,7680,4.07,92,5851,76.18
CUB, EQ, 26-Sep-2018,178.45,177,184.5,177,183.2,183.8,181.9,444782,809.07,5929,306827,68.98
CUMMINSIND, EQ, 26-Sep-2018,692.6,695,701,689.6,690,692.45,694.49,387335,2689.99,16633,205950,53.17
CUPID, EQ, 26-Sep-2018,196.65,196.7,203.8,194,196,196.8,198.36,15335,30.42,592,9542,62.22
CURATECH, BE, 26-Sep-2018,3.65,3.65,3.65,3.65,3.65,3.65,3.65,6,0,2, -, -
CYBERMEDIA, EQ, 26-Sep-2018,8.5,8.8,8.8,8.5,8.5,8.5,8.65,2,0,2,2,100
CYBERTECH, EQ, 26-Sep-2018,39.6,40.75,44.7,39.55,40.5,40.65,42.01,21304,8.95,207,13873,65.12
CYIENT, EQ, 26-Sep-2018,715.1,720.45,731,715.45,724.25,726.65,724.14,129786,939.83,7667,42668,32.88
DAAWAT, EQ, 26-Sep-2018,41.95,42.5,47.25,42.1,47,46.6,45.56,2132362,971.61,12396,721289,33.83
DABUR, EQ, 26-Sep-2018,437.5,440.95,442.35,432.05,436.45,436.45,436.71,2052494,8963.54,47461,1068809,52.07
DALMIABHA, EQ, 26-Sep-2018,2421.65,2458.9,2458.9,2417.7,2432.85,2430.15,2429.24,53364,1296.34,6566,24895,46.65
DALMIASUG, EQ, 26-Sep-2018,83.2,85.95,88.5,77.65,81.05,80.45,82.91,777398,644.53,7729,163781,21.07
DAMODARIND, EQ, 26-Sep-2018,99.5,99.5,100.2,98,98,98,99.41,947,0.94,14,937,98.94
DANGEE, SM, 26-Sep-2018,204.2,212,214.5,198.3,206,203.75,206.42,60800,125.5,33,44800,73.68
DATAMATICS, EQ, 26-Sep-2018,115.7,118.35,119.7,110.4,115.7,114.35,114.88,118789,136.47,1460,55748,46.93
DBCORP, EQ, 26-Sep-2018,200.9,202,207.95,200,203,203.5,204.05,23039,47.01,1453,13375,58.05
DBL, EQ, 26-Sep-2018,681.75,687.75,698,681.05,687.15,687.1,689.21,121355,836.39,8565,60167,49.58
DBREALTY, EQ, 26-Sep-2018,22.85,23.15,24.25,22.4,22.9,23.1,23.22,383768,89.11,2402,117666,30.66
DBSTOCKBRO, EQ, 26-Sep-2018,8.85,8.75,8.75,8.75,8.75,8.75,8.75,2,0,2,2,100
DCAL, EQ, 26-Sep-2018,250.7,255.75,257.95,250.35,252.1,253.05,253.89,119814,304.19,6993,78713,65.7
DCBBANK, EQ, 26-Sep-2018,150.2,152.4,156.4,150.6,153.05,153.6,153.83,2352726,3619.24,35303,895146,38.05
DCM, EQ, 26-Sep-2018,79.9,79.25,80.8,79,79.05,79.55,79.69,38502,30.68,208,34250,88.96
DCMSHRIRAM, EQ, 26-Sep-2018,458.7,463,479.9,440.25,446.75,448.25,450.29,361818,1629.23,13114,122318,33.81
DCW, EQ, 26-Sep-2018,20.25,20.25,20.95,19.5,19.65,19.7,19.82,303800,60.2,1133,179869,59.21
DECCANCE, EQ, 26-Sep-2018,390,385,396,376.55,380.05,380.1,382.63,1518,5.81,96,947,62.38
DEEPAKFERT, EQ, 26-Sep-2018,209.35,210.35,218,203.2,204.55,204.85,208.8,86212,180.01,3661,53297,61.82
DEEPAKNTR, EQ, 26-Sep-2018,280.85,283.8,301.7,274.25,299.45,293.8,287.81,814642,2344.63,15685,364220,44.71
DEEPIND, EQ, 26-Sep-2018,94.7,98,98,92.6,95.75,96.15,95.61,14326,13.7,432,10212,71.28
DELTACORP, EQ, 26-Sep-2018,215.85,218.4,224.4,217.2,218.6,219.1,220.11,1606904,3536.88,25937,401058,24.96
DELTAMAGNT, BE, 26-Sep-2018,125.25,119,119,119,119,119,119,153,0.18,8, -, -
DEN, EQ, 26-Sep-2018,52.5,52,63,51.6,53.9,54.4,56.97,502217,286.09,12522,219624,43.73
DENABANK, EQ, 26-Sep-2018,16.75,17,17.05,16.25,16.35,16.4,16.57,1717579,284.67,3514,640927,37.32
DENORA, EQ, 26-Sep-2018,260.15,256,265.6,248,248.25,249,253.59,7489,18.99,401,3738,49.91
DEVIT, SM, 26-Sep-2018,73.5,65,77.1,58.8,74.5,74.5,72.14,15000,10.82,10,3000,20
DFMFOODS, EQ, 26-Sep-2018,1136.95,1140.05,1173.7,1102,1150,1129.6,1125.36,465,5.23,151,176,37.85
DHAMPURSUG, EQ, 26-Sep-2018,147.55,150.9,153.5,132.8,132.8,133.25,142.67,4772268,6808.73,44852,1208465,25.32
DHANBANK, EQ, 26-Sep-2018,12.35,12.5,12.65,11.9,12,11.95,12.06,645287,77.81,1663,508779,78.85
DHANUKA, EQ, 26-Sep-2018,450.35,452,458.75,427,429.3,433.35,441.57,18011,79.53,1729,10968,60.9
DHARSUGAR, BE, 26-Sep-2018,15.7,16.2,16.25,14.95,14.95,14.95,15.29,18761,2.87,57, -, -
DHFL, EQ, 26-Sep-2018,299.45,311,320,277,303.4,305.45,303.78,69609470,211457.12,875226,10792485,15.5
DHFL, N6, 26-Sep-2018,907.78,900,915,900,905,903.84,900.79,1938,17.46,94,1926,99.38
DHFL, NA, 26-Sep-2018,925,910,915,910,915,915,910.26,117,1.07,7,117,100
DHFL, NC, 26-Sep-2018,917.64,915,920,908.5,920,918.84,915.43,3714,34,70,3191,85.92
DHFL, NE, 26-Sep-2018,1170,1168,1168,1168,1168,1168,1168,35,0.41,3,35,100
DHFL, NF, 26-Sep-2018,1107,1110,1110,1100,1100,1100,1101.56,160,1.76,7,160,100
DHFL, NH, 26-Sep-2018,1001,1000,1085,1000,1085,1085,1034.74,115,1.19,4,115,100
DHFL, NJ, 26-Sep-2018,960,950,950,950,950,950,950,12,0.11,1,12,100
DHFL, NL, 26-Sep-2018,931.99,932,949.69,925.1,947,947,935.58,394,3.69,19,267,67.77
DHFL, NN, 26-Sep-2018,901,920,925,902,902,903.71,911.87,260,2.37,14,250,96.15
DHFL, NO, 26-Sep-2018,1012,1020,1020,1020,1020,1020,1020,250,2.55,3,250,100
DHFL, NP, 26-Sep-2018,912.76,909,919,906.11,918,916.67,913,7582,69.22,138,6350,83.75
DHFL, NQ, 26-Sep-2018,939,949,949,920,920,920,928.3,518,4.81,26,518,100
DHFL, NS, 26-Sep-2018,916.25,916.75,916.75,916.5,916.5,916.5,916.63,400,3.67,10,400,100
DHFL, NX, 26-Sep-2018,907.04,900,910,900,906.01,909.29,901.1,2474,22.29,36,2463,99.56
DHFL, NY, 26-Sep-2018,969,945,945,940,940,940,942.5,10,0.09,2,10,100
DHFL, Y1, 26-Sep-2018,910.64,935,935,890,890,890,901.88,301,2.71,18,271,90.03
DHUNINV, EQ, 26-Sep-2018,289.2,292,298.9,282.55,295,294.7,286.48,565,1.62,55,447,79.12
DIAMONDYD, EQ, 26-Sep-2018,1055.15,1079.4,1079.4,1048.55,1062.1,1068.3,1069.35,2621,28.03,356,1741,66.43
DIAPOWER, BZ, 26-Sep-2018,1.95,1.95,1.95,1.9,1.9,1.9,1.91,18241,0.35,43, -, -
DICIND, EQ, 26-Sep-2018,403.8,404.05,419,399,399,400.5,402.45,200,0.8,43,106,53
DIGJAMLTD, EQ, 26-Sep-2018,5.9,5.9,6.15,5.8,6.05,6,5.95,20242,1.2,100,14820,73.21
DISHTV, EQ, 26-Sep-2018,59.25,59.6,59.7,56.3,57.2,57.05,57.31,10307677,5907.33,12804,4181050,40.56
DIVISLAB, EQ, 26-Sep-2018,1388.4,1400,1425,1371.05,1380,1385.35,1402.25,1804070,25297.59,56107,501590,27.8
DIXON, EQ, 26-Sep-2018,2563.65,2563.65,2600,2500,2509,2510.5,2538.51,6679,169.55,1362,2897,43.37
DLF, EQ, 26-Sep-2018,177.6,179.7,184.9,176.35,182.4,182.6,181.17,15397405,27895.92,109098,4765773,30.95
DLINKINDIA, EQ, 26-Sep-2018,80.15,84,84.45,78.25,78.85,79.55,80.96,165670,134.13,3227,60096,36.27
DMART, EQ, 26-Sep-2018,1427.15,1460,1460,1415,1415.1,1420.8,1433.51,298196,4274.68,19439,120612,40.45
DNAMEDIA, EQ, 26-Sep-2018,5.7,5.95,6.65,5.7,5.75,5.75,6,14167,0.85,63,8018,56.6
DOLLAR, EQ, 26-Sep-2018,306.55,296,307.05,293.3,297,297.55,299.18,11323,33.88,295,8412,74.29
DOLPHINOFF, EQ, 26-Sep-2018,53.75,54.05,54.9,52.8,53,53.4,53.55,51060,27.34,724,23710,46.44
DONEAR, EQ, 26-Sep-2018,33.3,33.5,34.85,32.15,33.85,33.75,33.73,31854,10.74,182,23063,72.4
DPL, EQ, 26-Sep-2018,94.65,94.3,97.25,92.3,92.7,93,94.76,14521,13.76,241,9868,67.96
DPSCLTD, EQ, 26-Sep-2018,16.05,17.35,17.35,15,15.05,15.25,15.73,10748,1.69,123,5987,55.7
DQE, EQ, 26-Sep-2018,7.7,7.85,7.9,7.4,7.65,7.45,7.63,11177,0.85,40,9854,88.16
DREDGECORP, EQ, 26-Sep-2018,374.7,377.95,386.75,374.45,377.6,377.95,379.19,176038,667.53,6649,42825,24.33
DRREDDY, EQ, 26-Sep-2018,2611.7,2617.7,2664.2,2591,2592,2600.85,2625.82,1206238,31673.66,68621,358067,29.68
DSSL, EQ, 26-Sep-2018,35.85,38,38,33.5,35,34.8,34.63,13958,4.83,120,11076,79.35
DTIL, EQ, 26-Sep-2018,281.3,275,284.85,275,278.5,278.4,278.39,1966,5.47,86,1268,64.5
DUCON, EQ, 26-Sep-2018,15.65,15.75,16,15.15,15.15,15.5,15.64,84369,13.19,426,63178,74.88
DWARKESH, EQ, 26-Sep-2018,25.4,26.1,26.55,23.65,24,24,25.1,5389262,1352.47,13193,1654240,30.7
DYNAMATECH, EQ, 26-Sep-2018,1599.55,1616,1662,1600,1620,1619.5,1629.9,800,13.04,112,676,84.5
DYNPRO, EQ, 26-Sep-2018,144.85,145.8,146.7,141.1,144.05,144.25,144.04,4271,6.15,139,2170,50.81
E2E, SM, 26-Sep-2018,67,67,67,60,63,63,63.32,60000,37.99,29,50000,83.33
EASTSILK, EQ, 26-Sep-2018,2.9,3.05,3.1,2.9,2.95,2.95,3,21842,0.66,53,16020,73.34
EASUNREYRL, BZ, 26-Sep-2018,10,10.4,10.4,9.5,9.5,9.5,9.97,2820,0.28,15, -, -
